Time_MJD count_rate_(cts/s) count_rate_based_error_(cts/s) bin_half_width_(days) exposure-based_error_(cts/s) exposure_(cm^2/s) counts
54732.0101992837 4.23666597144995e-06 1.65751251512691e-06 0.0208333335001091 1.85344476630718e-06 1.6522426E+06 7
54732.0518659507 9.36984687702535e-06 1.14756719083613e-05 0.0208333334999366 7.29260688099812e-06 1.0672533E+05 1
54732.0935326177 6.61547173605855e-06 1.49764111101182e-06 0.0208333334999366 1.37019370324931e-06 3.0232160E+06 20
54732.1351992847 5.14913990268898e-06 1.51707989269567e-06 0.0208333335001091 1.56060602389183e-06 2.3304863E+06 12
54732.1768659517 3.19317967475996e-06 2.52443018759929e-06 0.0208333334999366 3.01032396736769e-06 6.2633494E+05 2
54732.2185326187 1.00743263053549e-05 1.74039025932216e-06 0.0208333335001091 1.2968361382664e-06 3.3749155E+06 34
54732.2601992857 3.5114401725915e-06 2.18976767666529e-06 0.0208333334999366 2.57749935565437e-06 8.5435031E+05 3
54732.3018659527 6.08182724289017e-06 1.71892770563524e-06 0.0208333334999366 1.62952834682184e-06 2.1375155E+06 13
54732.3435326197 4.9483209728399e-06 1.25626092568178e-06 0.0208333335001091 1.32490730897153e-06 3.2334200E+06 16
54732.3851992867 3.2373394734872e-05 2.55934157384746e-05 0.0208333334999366 9.58507862300115e-06 6.1779125E+04 2
54732.4268659537 7.77769646549655e-06 1.67694789411888e-06 0.0208333334999366 1.41654609358123e-06 2.8286010E+06 22
54732.4685326207 6.41059705433065e-06 1.48991737353247e-06 0.0208333335001091 1.38384992775873e-06 2.9638425E+06 19
54732.5101992877 0 2.89135456550995e-06 0.0208333334999366 4.81753336461021e-06 2.4455900E+05 0
54732.5518659547 3.79341041366268e-06 1.2292054626794e-06 0.0208333334999366 1.4673424172591e-06 2.6361503E+06 10
54732.5935326217 0 3.46534371550946e-06 0.0208333335001091 5.27408607801759e-06 2.0405098E+05 0
54732.6351992887 7.77528342365945e-06 2.2908148477154e-06 0.0208333334999366 1.91771492151274e-06 1.5433521E+06 12
54732.6768659557 2.83635681879325e-06 1.50420535532506e-06 0.0208333335001091 2.00616658694796e-06 1.4102598E+06 4
54732.7601992897 2.53302411188185e-06 3.10230829013853e-06 0.0208333334999366 3.79171963915808e-06 3.9478503E+05 1
54732.8018659567 0 0.000144815875105595 0.0208333335001091 3.40943285155733e-05 4.8827988E+03 0
54732.8435326237 2.93848620004603e-06 3.59889590316133e-06 0.0208333334999366 4.08393088664129e-06 3.4031128E+05 1
54732.8851992907 2.91679017450062e-06 2.30592510205548e-06 0.0208333334999366 2.87709466960345e-06 6.8568525E+05 2
54732.9268659577 8.49964021554195e-06 3.09756207626985e-06 0.0208333335001091 2.4556803433854e-06 9.4121631E+05 8
54732.9685326247 0 0.000193218693123087 0.0208333334999366 3.93820777407185e-05 3.6596189E+03 0
