tstart tstop exp cts normAB11 normAB12 normAB13 normAB14 normAB21 normAB22 normAB23 normAB24 normAB11aa normAB21aa ratediffR1 ratediffR2 ratediffR3 ratediffR4 ratediffR1AA rate rate_error flux_ratediffR4 flux_ratediffR4_error Sa flux_rate flux_rate_error cts_expBKGR4 Slm SignUL N_sourceUL rateUL fluxUL SignSens3 N_sourceSens3 rateSens3 fluxSens3 SignSens4 N_sourceSens4 rateSens4 fluxSens4 SignSens5 N_sourceSens5 rateSens5 fluxSens5 fluxscalefactor ratew_meanR1 ratew_meanR2 ratew_meanR3 ratew_meanR4 ratew_meanR1aa
149234400.0 149245200.0 3333993.12 12 3237428.47 2598986.67 2426205.07 3511350.71 6571421.59 5932979.79 5760198.19 6845343.83 2598986.67 5932979.79 1.77e-06 1.58e-06 1.52e-06 1.85e-06 1.58e-06 3.60e-06 1.06e-06 nan 0.00e+00 2.23 nan 0.00e+00 5.84 4.75 2.66 0.10 3.00e-08 nan 3.02 1.00 3.00e-07 nan 4.02 3.80 1.14e-06 nan 5.02 7.10 2.13e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149245200.0 149256000.0 3026955.99 7 806373.27 433948.89 333159.62 966161.25 3833329.26 3460904.88 3360115.61 3993117.24 433948.89 3460904.88 4.86e-07 2.90e-07 2.29e-07 5.60e-07 2.90e-07 2.31e-06 9.05e-07 nan 0.00e+00 0.70 nan 0.00e+00 5.31 3.19 2.54 0.10 3.30e-08 nan 3.04 1.30 4.29e-07 nan 4.02 4.00 1.32e-06 nan 5.01 7.20 2.38e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149256000.0 149266800.0 2402443.5 3 -759588.10 -919198.55 -962393.95 -691107.54 1642855.40 1483244.95 1440049.55 1711335.96 -919198.55 1483244.95 -5.77e-07 -7.74e-07 -8.35e-07 -5.04e-07 -7.74e-07 1.25e-06 7.79e-07 nan 0.00e+00 0.62 nan 0.00e+00 4.21 1.58 2.27 0.10 4.16e-08 nan 3.04 1.80 7.49e-07 nan 4.02 4.40 1.83e-06 nan 5.01 7.50 3.12e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149266800.0 149277600.0 2035952.93 2 -940716.00 -1047122.96 -1075919.90 -895062.29 1095236.93 988829.97 960033.03 1140890.64 -1047122.96 988829.97 -8.44e-07 -1.04e-06 -1.10e-06 -7.71e-07 -1.04e-06 9.82e-07 7.77e-07 nan 0.00e+00 0.91 nan 0.00e+00 3.57 1.09 2.10 0.10 4.91e-08 nan 3.01 2.00 9.82e-07 nan 4.02 4.60 2.26e-06 nan 5.00 7.60 3.73e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149277600.0 149288400.0 2304381.48 6 981329.32 662108.42 575717.62 1118290.44 3285710.80 2966489.90 2880099.10 3422671.92 662108.42 2966489.90 7.78e-07 5.81e-07 5.20e-07 8.51e-07 5.81e-07 2.60e-06 1.11e-06 nan 0.00e+00 0.91 nan 0.00e+00 4.04 3.07 2.23 0.10 4.34e-08 nan 3.01 1.80 7.81e-07 nan 4.00 4.40 1.91e-06 nan 5.03 7.60 3.30e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149288400.0 149299200.0 1827394.35 3 -184538.95 -344149.40 -387344.80 -116058.39 1642855.40 1483244.95 1440049.55 1711335.96 -344149.40 1483244.95 -1.84e-07 -3.81e-07 -4.42e-07 -1.11e-07 -3.81e-07 1.64e-06 1.02e-06 nan 0.00e+00 0.11 nan 0.00e+00 3.20 1.82 2.05 0.20 1.09e-07 nan 3.03 2.20 1.20e-06 nan 4.02 4.70 2.57e-06 nan 5.01 7.70 4.21e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149299200.0 149310000.0 2413771.32 5 324321.01 58303.59 -13688.74 438455.28 2738092.33 2472074.91 2400082.58 2852226.60 58303.59 2472074.91 2.45e-07 4.89e-08 -1.18e-08 3.18e-07 4.89e-08 2.07e-06 9.72e-07 nan 0.00e+00 0.36 nan 0.00e+00 4.23 2.59 2.28 0.10 4.14e-08 nan 3.04 1.80 7.46e-07 nan 4.02 4.40 1.82e-06 nan 5.01 7.50 3.11e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149310000.0 149320800.0 3264028.85 8 1116918.88 691291.01 576103.28 1299533.71 4380947.73 3955319.86 3840132.13 4563562.56 691291.01 3955319.86 6.25e-07 4.28e-07 3.68e-07 6.98e-07 4.28e-07 2.45e-06 8.93e-07 nan 0.00e+00 0.90 nan 0.00e+00 5.72 3.48 2.64 0.10 3.06e-08 nan 3.00 1.00 3.06e-07 nan 4.00 3.80 1.16e-06 nan 5.01 7.10 2.18e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149320800.0 149331600.0 3325462.8 9 1603103.40 1124272.04 994685.84 1808545.08 4928566.20 4449734.84 4320148.64 5134007.88 1124272.04 4449734.84 8.80e-07 6.84e-07 6.23e-07 9.53e-07 6.84e-07 2.71e-06 9.27e-07 nan 0.00e+00 1.21 nan 0.00e+00 5.83 3.81 2.66 0.10 3.01e-08 nan 3.02 1.00 3.01e-07 nan 4.02 3.80 1.14e-06 nan 5.02 7.10 2.14e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149331600.0 149342400.0 3357871.7 4 -1167397.84 -1380211.77 -1437805.64 -1076090.42 2190473.86 1977659.93 1920066.06 2281781.28 -1380211.77 1977659.93 -6.35e-07 -8.31e-07 -8.92e-07 -5.62e-07 -8.31e-07 1.19e-06 6.32e-07 nan 0.00e+00 0.83 nan 0.00e+00 5.89 1.77 2.67 0.10 2.98e-08 nan 3.03 1.00 2.98e-07 nan 4.03 3.80 1.13e-06 nan 5.03 7.10 2.11e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149342400.0 149353200.0 2445656.71 3 -802801.31 -962411.76 -1005607.16 -734320.75 1642855.40 1483244.95 1440049.55 1711335.96 -962411.76 1483244.95 -5.99e-07 -7.96e-07 -8.57e-07 -5.26e-07 -7.96e-07 1.23e-06 7.65e-07 nan 0.00e+00 0.66 nan 0.00e+00 4.29 1.56 2.29 0.10 4.09e-08 nan 3.01 1.70 6.95e-07 nan 4.03 4.40 1.80e-06 nan 5.02 7.50 3.07e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149353200.0 149364000.0 1904703.6 7 1928625.66 1556201.28 1455412.01 2088413.64 3833329.26 3460904.88 3360115.61 3993117.24 1556201.28 3460904.88 1.85e-06 1.65e-06 1.59e-06 1.92e-06 1.65e-06 3.68e-06 1.44e-06 nan 0.00e+00 1.74 nan 0.00e+00 3.34 3.65 2.04 0.10 5.25e-08 nan 3.01 2.10 1.10e-06 nan 4.03 4.70 2.47e-06 nan 5.02 7.70 4.04e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149364000.0 149374800.0 2291755.13 2 -1196518.20 -1302925.16 -1331722.10 -1150864.49 1095236.93 988829.97 960033.03 1140890.64 -1302925.16 988829.97 -9.53e-07 -1.15e-06 -1.21e-06 -8.80e-07 -1.15e-06 8.73e-07 6.90e-07 nan 0.00e+00 1.12 nan 0.00e+00 4.02 0.99 2.22 0.10 4.36e-08 nan 3.00 1.80 7.85e-07 nan 4.03 4.50 1.96e-06 nan 5.03 7.60 3.32e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149374800.0 149385600.0 1940132.18 3 -297276.78 -456887.23 -500082.63 -228796.22 1642855.40 1483244.95 1440049.55 1711335.96 -456887.23 1483244.95 -2.80e-07 -4.76e-07 -5.37e-07 -2.07e-07 -4.76e-07 1.55e-06 9.64e-07 nan 0.00e+00 0.22 nan 0.00e+00 3.40 1.77 2.05 0.10 5.15e-08 nan 3.02 2.10 1.08e-06 nan 4.00 4.60 2.37e-06 nan 5.02 7.70 3.97e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06

